Field,Type,Null,Key,Default,Extra
ID,varchar(255),NO,PRI,NULL,
US_RM,varchar(255),YES,,NULL,
India_RM,varchar(255),YES,,NULL,
Special_Project,varchar(255),YES,,NULL,
Position_Type,varchar(255),YES,,NULL,
Backfill_name,varchar(255),YES,,NULL,
Primary_JRSS,varchar(255),YES,,NULL,
Preferred_Skills,varchar(255),YES,,NULL,
Min_Skill_required,varchar(255),YES,,NULL,
Additional_info,varchar(255),YES,,NULL,
Team_name,varchar(255),YES,,NULL,
Will_client_decide,varchar(255),YES,,NULL,
Decision_maker_name,varchar(255),YES,,NULL,
Target_DOJ,date,YES,,NULL,
Status,varchar(255),YES,,NULL,
Sub_status,varchar(255),YES,,NULL,
comments,varchar(255),YES,,NULL,
Position_Opened_Date,date,YES,,NULL,
Candidate_Finalized_Date,date,YES,,NULL,
Actual_DOJ,date,YES,,NULL,
Position_filled_with_Emp_Name,varchar(255),YES,,NULL,
Position_filled_with_Source,varchar(255),YES,,NULL,
Contract_Info,varchar(255),YES,,NULL,
Fulfilment_strategy,varchar(255),YES,,NULL,
Band_Low,varchar(2),YES,,NULL,
Band_High,varchar(2),YES,,NULL,
JD,varchar(255),YES,,NULL,
FG_manager_Name,varchar(255),YES,,NULL,
ATT_Director_Name,varchar(255),YES,,NULL,
ATT_AVP_Name,varchar(255),YES,,NULL,
Initiated_by,varchar(255),YES,,NULL,
Demand_Code,varchar(255),YES,,NULL,
Record_creation_date,date,YES,,NULL,
Last_updated_date,date,YES,,NULL,
Last_updated_by,varchar(255),YES,,NULL,
priority,int,YES,,NULL,
