Field,Type,Null,Key,Default,Extra
Proposal_date,date,YES,,NULL,
unique_id,varchar(255),NO,PRI,NULL,
pancard,varchar(255),YES,,NULL,
sources,varchar(255),YES,,NULL,
cand_name,varchar(255),YES,,NULL,
JRSS,varchar(255),YES,,NULL,
skills,varchar(255),YES,,NULL,
band,varchar(2),YES,,NULL,
box_link,varchar(255),YES,,NULL,
position_id,varchar(255),YES,,NULL,
location,varchar(255),YES,,NULL,
contact_num,varchar(255),YES,,NULL,
notice_period,varchar(255),YES,,NULL,
comments,varchar(255),YES,,NULL,
cdo_tower_status,varchar(255),YES,,NULL,
staff_status,varchar(255),YES,,NULL,
tech_panel,varchar(255),YES,,NULL,
record_creation,date,YES,,NULL,
last_updated_date,date,YES,,NULL,
last_updated_by,varchar(255),YES,,NULL,
